date,alimentos,alcohol,ropa,vivienda,muebles,salud,transporte,comunicaciones,recreacion,educacion,restaurantes,otros
17-Nov,182.93,112.17,113.74,109.32,114.64,118.44,107,101.85,116.03,105.39,119.2,119.98
17-Dec,186.32,111.95,113.8,110.18,114.52,118.53,108.09,101.82,116.93,105.38,119.3,120.03
18-Jan,184.48,112.12,113.8,110.33,114.5,118.88,108.1,101.79,116.02,105.79,119.35,120.02
18-Feb,182.98,112.07,113.77,110.86,114.41,119.17,108.4,101.91,116.93,105.8,119.46,119.86
18-Mar,183.81,112.3,113.79,110.97,114.66,119.53,108.44,101.87,117.24,105.8,119.48,119.92
18-Apr,183.6,112.75,113.9,111.04,114.72,119.82,109.1,101.85,116.99,105.83,119.8,119.95
18-May,184.93,112.84,114.1,111.54,114.91,120,110.42,101.85,117.13,105.83,119.9,119.93
18-Jun,187.56,113.05,114.17,111.65,115,120.27,110.1,101.82,117.14,105.83,119.93,120.02
18-Jul,189.09,113.22,114.12,111.72,115.08,120.41,109.77,102.84,117.07,105.89,120,120.14
18-Aug,191.05,113.41,114.15,111.73,114.88,120.58,109.95,102.43,117.16,105.89,120.25,120.27
18-Sep,193.83,113.54,114.14,111.74,114.78,120.96,109.97,102.48,116.91,105.93,120.3,120.24
18-Oct,194.59,113.64,114.14,112.37,114.64,121.16,111.13,102.47,117.68,105.93,120.23,120.27
18-Nov,193.72,113.65,114.21,112.8,114.68,121.33,108.52,102.89,118.08,105.93,120.28,120.31
18-Dec,194.98,113.54,114.23,112.7,114.58,121.31,106.84,102.9,118.52,105.93,120.28,120.23
19-Jan,202.48,113.54,114.2,112.42,114.52,121.24,105.16,102.9,117.07,106.2,120.39,119.77
19-Feb,202.36,114.04,114.33,112.65,114.48,121.58,106.58,102.92,117.76,106.19,120.48,119.48
19-Mar,201.76,114.72,114.08,112.6,114.55,122.07,108.01,102.88,116.68,106.2,120.53,119.7
19-Apr,203.33,114.83,114.12,112.61,114.48,122.44,110.77,102.45,117.7,106.19,120.9,119.92
19-May,203.55,114.79,114.08,113.83,114.61,122.67,111.5,102.68,117.6,106.19,121.15,120.4
19-Jun,206.59,114.91,113.93,113.59,114.86,122.94,111.36,109.41,116.93,106.19,121.24,120.43
19-Jul,206.24,114.5,113.81,113.34,114.68,123.27,111.95,109.42,116.85,106.28,121.27,120.41
19-Aug,202.47,114.38,113.91,113.36,114.85,123.54,110.05,109.42,116.98,106.28,121.32,120.58
19-Sep,199.52,114.77,113.96,113.54,114.74,123.64,110.76,109.38,115.92,106.14,121.3,120.61
19-Oct,202.75,114.91,113.95,112.71,114.76,123.65,111.64,109.47,116.44,106.14,121.32,120.82
19-Nov,204.09,114.67,113.83,113.47,114.73,123.89,112.25,109.45,117.64,106.14,121.36,120.93
19-Dec,206.59,114.23,113.56,114.1,114.47,124.02,112.64,109.42,117.86,106.14,121.47,121.15
