DATE,A34HNO
2015-11-01,3478.0
2015-12-01,3496.0
2016-01-01,3316.0
2016-02-01,3213.0
2016-03-01,3374.0
2016-04-01,3298.0
2016-05-01,3367.0
2016-06-01,3231.0
2016-07-01,3436.0
2016-08-01,3346.0
2016-09-01,3362.0
2016-10-01,3263.0
2016-11-01,3229.0
2016-12-01,3321.0
2017-01-01,3331.0
2017-02-01,3386.0
2017-03-01,3410.0
2017-04-01,3419.0
2017-05-01,3414.0
2017-06-01,3317.0
2017-07-01,3483.0
2017-08-01,3617.0
2017-09-01,3633.0
2017-10-01,3655.0
2017-11-01,3625.0
2017-12-01,3690.0
2018-01-01,3715.0
2018-02-01,3711.0
2018-03-01,3550.0
2018-04-01,3537.0
2018-05-01,3569.0
2018-06-01,3577.0
2018-07-01,3483.0
2018-08-01,3361.0
2018-09-01,3495.0
2018-10-01,3524.0
2018-11-01,3695.0
2018-12-01,3637.0
2019-01-01,3589.0
2019-02-01,3588.0
2019-03-01,3570.0
2019-04-01,3538.0
2019-05-01,3584.0
2019-06-01,3586.0
2019-07-01,3621.0
2019-08-01,3791.0
2019-09-01,3818.0
2019-10-01,3833.0
2019-11-01,3934.0
